"""country""";"""continent""";"""lifeExp""";"""pop""";"""gpdPercap"""
TSM_ImperialHal;"""""M""""";13406;1707481;28375
NICKMERCS;"""""M""""";15878;6601027;28799
HisWattson;"""M""";7355;409105;12101
Mande;"""M""";4879;357664;9101
???2 (yukiofps14);"""M""";3818;139509;8645
ShivFPS;"""M""";3757;1449561;8858
Faide;"""M""";4558;678245;6624
Rogue;"""M""";2713;776720;5469
?????? (kato_junichi0817);"""M""";16784;668933;25972
sweetdreams;"""M""";4262;775843;8139
NiceWigg;"""M""";2486;626164;7313
aceu;"""M""";12275;2797903;17016
iiTzTimmy;"""M""";7984;2473894;11011
sudetakin;"""M""";1547;53436;5622
TSM_Reps;"""M""";1638;267360;4223
Snip3down;"""M""";2773;604607;6077
??? (oniyadayo);"""M""";6484;198632;9569
Dropped;"""M""";1941;302487;5026
chaoticmuch;"""M""";1136;147560;2145
Apricot;"""F""";4569;365783;7167
stylishnoob4;"""M""";15275;903081;18403
??? (dmf_kyochan);"""M""";1483;208464;2610
Albralelie;"""M""";1335;593895;5206
YamatoShuhei_;"""M""";4498;20398;7038
Naughty';"""M""";556;133492;1317
oraxe;"""M""";1031;102634;2058
VERHULST;"""M""";1073;228595;5395
?? (kimdoe);"""M""";4046;318468;6066
?? (taaaao);"""M""";1189;59354;3332
?? (ttv_bolin);"""M""";966;82338;2077
maronnv;"""M""";1014;64950;1537
Extesyy  (extesyy);"""M""";1374;130904;4183
IQ200YukaF;"""M""";906;57181;2233
stormen;"""M""";1216;715388;2466
Euriece;"""M""";1486;310479;2708
??? (dtn_mukai);"""M""";1337;79853;4301
daltoosh;"""M""";3474;733447;4436
9impulse;"""M""";1279;116760;2271
Diegosaurs;"""M""";1575;684197;2601
Keon;"""M""";745;107107;4008
456_hesiko;"""M""";598;30890;1884
Dezignful;"""M""";402;168246;1656
Apryze;"""M""";663;260417;2116
GuhRL;"""F""";381;180151;1256
KSWINNIIE;"""M""";624;105624;1253
??????? (kentung);"""M""";762;88060;1379
knoqd;"""M""";454;167256;1046
Ftyaaaan;"""M""";939;28417;2348
aParkha;"""M""";753;49549;1429
taxi2g;"""M""";1668;339098;2410
